id,conversation_id,date,tweet,Odio_Bol,language,username,Reply?,link,SPAM?
1310492873289273345,1310492873289273345,2020-09-28 05:13:43,Acidente entre táxi e moto acaba em morte de estudante #BalançoGeral  https://t.co/HHgEMS4vcg,0,pt,balancogeral,0,,
1280222495312883713,1280222495312883713,2020-07-06 16:30:02,O engenheiro civil Leonardo Barros em que a esposa agrediu verbalmente o fiscal da prefeitura em reportagem mostrada no fantastico ainda chegou a postar um video em sua conta no twitter no fim de srmana antes da reportagem ir ao ar. Agora excluiu a conta.  #semnocao  https://t.co/aJgpdNwkOK,0,pt,RiodeNojeira,0,,
1296574207078346753,1296574207078346753,2020-08-20 19:25:54,"😱Promoção de cadeira de praia, cooler, panela de pressão e corona vírus hoje, na inauguração do Atacadão Tubarão no mercadão de Jacarepaguá.  @prefeitura_rio  #covid19  https://t.co/1y50rxb9qV",0,pt,RiodeNojeira,0,,
1231395886187655168,1231395886187655168,2020-02-22 22:50:32,Operação Carnaval Mais Seguro em Taubaté: Policiais Militares prendem criminoso que mantinha os quatro filhos em cárcere privado.  https://t.co/FEiJnmNgc2,0,pt,PMESP,0,,
1296455477283491840,1296455477283491840,2020-08-20 11:34:07,"Estamos presentes em diversos pontos do estado, sempre trabalhando para garantir a segurança dos cidadãos. Neste momento, policiais da #UPPPrazeres atuam na Rua Barão de Petrópolis com Rua Estrela. A #PMERJ está nas ruas!!!  #ServireProteger #PMERJemAção  https://t.co/nHKhMYYpWT",0,pt,PMERJ,0,,
1276613704964993025,1276613704964993025,2020-06-26 17:30:00,"Afastado por conta da pandemia, Carlos Alberto de Nóbrega implora para voltar a trabalhar. 😮 #AHoraDaVenenosa #BalançoGeral  https://t.co/UsM8aPcBaz",0,pt,balancogeral,0,,
1306017770426036224,1306017770426036224,2020-09-15 20:51:15,"Covid-19: Brasil registra 1.113 mortes e 36.653 casos nas últimas 24 horas - (Via @sbtjornalismo)  País tem 133 mil mortes e 4,38 milhões de infecções confirmadas. Há mais de 3,67 milhões de recuperados -  https://t.co/uo14SDAbVn  https://t.co/brEJEGUzu7",0,pt,alertario24hrs,0,,
1320451130288152577,1320339757675708421,2020-10-25 16:44:16,@Alexandre030479 👮🏽‍♂️👊🏽,0,und,PMERJ,1,,
1331583419617185792,1331583419617185792,2020-11-25 10:00:01,Engavetamento com cinco carros na Radial Leste deixa dois feridos #BalançoGeral  https://t.co/7u79BSRJpq,0,pt,balancogeral,0,,
1296804626503798789,1296799343027126273,2020-08-21 10:41:31,"@Valenti75943545 Muito obrigado pelas palavras de carinho, Valentina. Conte sempre com a Polícia Militar!!  #PMERJ",0,pt,PMERJ,1,,
1344751720635756562,1344751720635756562,2020-12-31 18:06:09,China relata primeiro caso de nova variante de coronavírus (Moneytimes),0,pt,alertario24hrs,0,,
1389767433519566851,1389767433519566851,2021-05-04 23:22:31,"Granada, revólver, munições e Rádios transmissores foram apreendidos na escadaria da Rua do Epa, no Morro da Caixa d`Água, em Santo Antônio de Pádua, numa ação conjunta do #36BPM e da #136DP.  https://t.co/fdlZ32CDOX",0,pt,PMERJ,0,,
1333363193306112000,1333363193306112000,2020-11-30 07:52:12,"#BomDia, Rio de Janeiro!     Um compromisso que vai #MuitoAlémDeServireProteger!  Tenham todos uma ótima semana. Contem sempre com a #PMERJ! 👮🏽‍♂️👮🏽‍♀️💙  📸 #16BPM  https://t.co/OJRXhghgOO",0,pt,PMERJ,0,,
1362493315514515463,1362493315514515463,2021-02-18 17:04:54,"E os donos do BRT, serão presos?  Seremos imprensados!  ""Alvorada x Santa Cruz BRT super lotado! Ele disse que saiu de casa 11:30h e chegou na Barra 14:15h.Transporte abarrotado de pessoas e demora de 1h no ponto aguardando o mesmo.""  #brt #riodejaneiro  #covid19 #variante  https://t.co/0LQOIUzUjM",0,pt,RiodeNojeira,0,,
1342312484062040064,1342312484062040064,2020-12-25 00:33:29,URGENTE: 7 BRT pegando fogo no Terminal Fundão nesse momento.,0,pt,alertario24hrs,0,,
1331209214447017984,1331209214447017984,2020-11-24 09:13:04,A arma é maior do que o bandido.  @PMERJ  #guerra #arma  #riodejaneiro  https://t.co/oD1boa9Tbr,0,pt,RiodeNojeira,0,,
1379871597297688577,1379871597297688577,2021-04-07 16:00:00,Menino de 1 ano entra em caixa d'água no quintal de casa e morre afogado #BalançoGeral  https://t.co/m5RCiPlhJc,0,pt,balancogeral,0,,
1234554063074799625,1234554063074799625,2020-03-02 16:00:00,"Motorista abandona esposa e filha após matar motociclista em acidente de carro. De acordo com a mulher, ele havia ingerido uma grande quantidade de bebidas alcoólicas #BalançoGeral  https://t.co/NMtIql7X5B",0,pt,balancogeral,0,,
1304608168761270272,1304608168761270272,2020-09-11 23:30:00,Caso Wesley: garoto é flagrado com bicicleta e some no interior de SP. Entenda todos os detalhes do caso na reportagem do  #CidadeAlerta  https://t.co/OVv7NxGvFC,0,pt,cidadealerta,0,,
1294740186010718216,1294740186010718216,2020-08-15 17:58:10,"Seremos campeões!  Absurdo! Peça infantil DPA com mais de uma hora de atraso, no LoveCine no estacionamento do Jeunesse Arena. Maior zona. Funcionários perdidos. Fila de carros. Total desrespeito.  Começou com 1h30m de atraso @jeunessearena   #zona #desrespeito  https://t.co/mYEeu2CiPp",0,pt,RiodeNojeira,0,,
1327290149403811842,1327289369854619649,2020-11-13 13:40:06,"@Estadao @EstadaoEconomia ■ APPLE, NETFLIX, FACEBOOK , AMAZON, MICROSOFT, TESLA , VISA.● ABRA AGORA SUA CONTA GRÁTIS SEM CUSTOS EM MENOS DE 1 MINUTO!  CORRETAGEM ZERO ● VC PODERÁ RECEBER ATÉ 100 DOLARES EM AÇÕES!   ■ Menu em Português   ■ Link:  https://t.co/QOlF2IdjkA LInk:  https://t.co/Yd7ohpNM2S",0,pt,alertario24hrs,1,,1
1347244500943560705,1347244500943560705,2021-01-07 15:11:34,Leonardo revela que Zé Felipe parou de  estudar aos 14 anos. Veja na #AHoraDaVenenosa  https://t.co/KOdSV6toei,0,pt,balancogeral,0,,
1319312724220956674,1319282281559683072,2020-10-22 13:20:39,@marcosQuaresm17 @PCERJ @ISPRJ 💙,0,und,PMERJ,1,,
1322107839566020608,1322107839566020608,2020-10-30 06:27:27,Moradores registram vídeos de intensos tiroteios em comunidade #BalançoGeral  https://t.co/hKj0Msv1q8,0,pt,balancogeral,0,,
1379591916988289026,1379591916988289026,2021-04-06 21:28:39,Fique De Olho Novidades No Próximo Domingo Legal,0,pt,SBTPimpacto,0,,
1357734020424040450,1357734020424040450,2021-02-05 13:53:10,Mulher com criança é atacada e agredida no meio da rua durante assalto. Confira no #BalançoGeral  https://t.co/uUOv6HeQ7P,0,pt,balancogeral,0,,
1379554732071559169,1379554732071559169,2021-04-06 19:00:53,Hoje Assistam O #SBTBrasil Dia Do Anúncio Oficial #ChampionsLeague  https://t.co/22SszoPPF0,0,pt,SBTPimpacto,0,,
1329852692362113025,1329852692362113025,2020-11-20 15:22:43,"Hoje, após #AFazenda12, tem o 4º episódio de Game dos Clones com Sabrina Sato #AHoraDaVenenosa #BalançoGeral  https://t.co/JlWWc37mec",0,pt,balancogeral,0,,
1313207679750410244,1313207679750410244,2020-10-05 17:01:23,Polícia Militar recupera moto roubada em Diadema.  CONFIRA:  https://t.co/cS6HH6sfKB  https://t.co/ClUIp4v4i3,0,pt,PMESP,0,,
1225192377444208640,1225192377444208640,2020-02-05 20:00:00,"A polícia prendeu, até agora, cinco pessoas por envolvimento na morte de Flaviana, Romuyuki e Juan Gonçalves, encontrados carbonizados em uma estrada de terra em São Bernardo do Campo #BalançõGeral   https://t.co/AkSWhM3VXo",0,pt,balancogeral,0,,
1354421400996614146,1354421400996614146,2021-01-27 10:30:00,"Onda de assaltos aterroriza moradores do Morumbi, em São Paulo #BalançoGeral  https://t.co/UVfAQHKPyt",0,pt,balancogeral,0,,
1337585871390969857,1337585871390969857,2020-12-11 23:31:37,Agência dos EUA autoriza imunizante da Pfizer e vacinação deve começar na próxima semana,0,pt,alertario24hrs,0,,
